89,УЛ.СТОЙКОСТИ - СТ. МЕТРО "ПРОСПЕКТ ВЕТЕРАНОВ"
337А,'Г. КОЛПИНО, ЗАВОДСКОЙ ПР. - ПОС. МЕТАЛЛОСТРОЙ, ЦЕНТРАЛЬНАЯ УЛ.'
376,'г.Пушкин, Автобусная станция"Железнодорожная ул." - Красносельское шоссе(пустой)'
110,СТ. МЕТРО "СТАРАЯ ДЕРЕВНЯ" - МОТЕЛЬ- КЕМПИНГ "ОЛЬГИНО" 
131,АВТОБУСНАЯ СТАНЦИЯ "РУЧЬИ" - Ж.-Д.СТ. "ПИСКАРЁВКА"
306А,'ПАНСИОНАТ "ДЮНЫ" - Г.СЕСТРОРЕЦК, КУРОРТНАЯ УЛ.'
309,'Ж.-Д.СТАНЦИЯ ГОРСКАЯ - Г.СЕСТРОРЕЦК, КУРОРТНАЯ УЛ.'
312,'Г. СЕСТРОРЕЦК, УЛ. ВОЛОДАРСКОГО - Г. СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. (ТОЛЬКО В ОДНУ СТОРОНУ)'
305,'Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ВЫБОРГСКОЕ ШОССЕ, 764-Й КМ'
213,'Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - 21 КМ'
404,'Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС. ПОДГОРНОЕ'
408,'ПОС. РЕПИНО, ВОКЗАЛ - ПОСЕЛОК ЛЕНИНСКОЕ'
415,'Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ -  53 КМ АВТОДОРОГИ "ПАРГОЛОВО-ОГОНЬКИ"'
415Ш,'Г.ЗЕЛЕНОГОРСК,ВОКЗАЛ - ЖИЛГОРОДОК - ШКОЛА №445 - Д/С "ПИОНЕР" - Г.ЗЕЛЕНОГОРСК'
211,'СПб.,СТ. МЕТРО "ЧЁРНАЯ РЕЧКА" - Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ '
321,'Г. ЗЕЛЕНОГОРСК, ВОКЗАЛЬНАЯ ПЛ. - ПОС. РЕШЕТНИКОВО'
410,'Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС. ПЕРВОМАЙСКОЕ'
420,'Г.ЗЕЛЕНОГОРСК, ВОКЗАЛ - ПОС.КРАСНАЯ ДОЛИНА'
420Б,'Г. ЗЕЛЕНОГОРСК,ВОКЗАЛ - ПОС.ПЕСКИ'
483,'Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ "СОСНОВЫЙ БОР" (ЧЕРЕЗ ЗЕЛЕНЫЙ ХОЛМ)'
381,'Г.ПУШКИН,ЖЕЛЕЗНОДОРОЖНАЯ УЛ. - КРАСНОСЕЛЬСКОЕ ШОССЕ'
141,АС "УЛ. КОСТЮШКО" - МОСКОВСКИЙ ВОКЗАЛ
200Ф,'Санкт-Петербург, А.С."Кировский завод"- г. Ломоносов, Вокзал'
326Ф,'г. Колпино, вокзал - ст.м. "Купчино"'
415А,'Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - 53 км АВТОДОРОГИ "ПАРГОЛОВО - ОГОНЬКИ"  '
125,СТ.МЕТРО "СТАРАЯ ДЕРЕВНЯ" -"СТ.МЕТРО "СТАРАЯ ДЕРЕВНЯ" (КОЛЬЦЕВОЙ)
175,'Г. ЛОМОНОСОВ, ВОКЗАЛ - Г. КРОНШТАДТ, ГРАЖДАНСКАЯ УЛ.'
168,СТ. МЕТРО "ЛАДОЖСКАЯ" - УЛ. ХИМИКОВ
9,'КОЛОМЯГИ, АВТОБУСНЫЙ ПАРК - ПЛ. МУЖЕСТВА'
182,АФОНСКАЯ УЛ. - ГЛУХАРСКАЯ УЛ.
К-65,станция метро "Пионерская" - улица Демьяна Бедного
К-9,на пересечении ул. Академика Константинова с пр. Науки - улица Карпинского
б/№,АС "КИРОВСКИЙ ЗАВОД" - ПОС. НОВОСЕЛЬЕ
К-178,Финляндский вокзал-ст. метро "Парнас"
К-10А,'пос. Бугры, Шоссейная ул., д. 28 - станция метро Политехническая ( Политехническая ул., д. 26)'
